UNIQ_ID;event_date;event_type
19;03.10.2013;возбуждено уголовное дело
20;04.10.2013;возбуждено уголовное дело
19;04.10.2013;появление потерпевшего
20;05.10.2013;появление потерпевшего
19;01.11.2013;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
20;30.10.2013;дело направлено прокурору в порядке ст. 220 УПК РФ
20;03.11.2013;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ
21;03.03.2014;сообщение поступило по телефону
21;03.03.2014;возбуждено уголовное дело
21;04.03.2014;появление потерпевшего
21;25.03.2014;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
22;12.07.2014;устное сообщение о преступлении
22;12.07.2014;возбуждено уголовное дело
22;12.07.2014;появление потерпевшего
22;25.07.2014;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
23;12.07.2014;устное сообщение о преступлении
23;12.07.2014;возбуждено уголовное дело
24;10.06.2012;устное сообщение о преступлении
24;10.06.2012;возбуждено уголовное дело
25;10.02.2016;сообщение о происшествии
25;10.03.2016;доследственная проверка продлена
25;10.04.2016;отказано в возбуждении уголовного дела за отсутствием события или состава преступления
25;10.04.2016;отменено постановление об отказе в возбуждении уголовного дела
25;28.04.2016;отказано в возбуждении уголовного дела за отсутствием события или состава преступления
25;14.05.2016;отменено постановление об отказе в возбуждении уголовного дела
25;20.05.2016;появление лица,  подозреваемого в совершении преступления
25;02.06.2016;дело направлено прокурору в порядке ст. 220 УПК РФ
25;06.06.2016;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ
